Descrição do Contrato,Categoria,Data de Vencimento,Fornecedor
Contrato 1 - Locação de Sala,Locação,10/11/2025,E
Contrato 2 - Seguro de Saúde,Seguro,03/11/2025,F
Contrato 3 - Licença de Software,Software,01/11/2025,B
Contrato 4 - Seguro Residencial,Seguro,26/05/2025,A
Contrato 5 - Seguro de Vida,Seguro,06/08/2025,B
Contrato 6 - Seguro Empresarial,Seguro,06/11/2025,A
Contrato 7 - Seguro Veicular,Seguro,22/05/2025,C
Contrato 8 - Manutenção de Equipamentos,Manutenção,11/03/2025,D
Contrato 9 - Seguro Empresarial,Seguro,25/08/2025,F
Contrato 10 - Consultoria Financeira,Consultoria,10/02/2025,F
Contrato 11 - Seguro Saúde,Seguro,30/01/2025,D
Contrato 12 - Seguro Imóvel,Seguro,11/07/2025,E
Contrato 13 - Consultoria de TI,Consultoria,12/04/2025,B
Contrato 14 - Consultoria em Marketing,Consultoria,09/02/2025,F
Contrato 15 - Locação de Equipamentos,Locação,24/05/2025,D
Contrato 16 - Consultoria Jurídica,Consultoria,01/03/2025,B
Contrato 17 - Locação de Sala Comercial,Locação,15/05/2025,A
Contrato 18 - Licença de Software X,Software,06/02/2025,E
Contrato 19 - Manutenção Preventiva,Manutenção,31/07/2025,D
Contrato 20 - Locação de Móveis,Locação,25/03/2025,D
Contrato 21 - Locação de Equipamentos Audiovisuais,Locação,05/03/2025,F
Contrato 22 - Consultoria Empresarial,Consultoria,04/07/2025,D
Contrato 23 - Consultoria em Vendas,Consultoria,21/01/2025,A
Contrato 24 - Fornecimento de Materiais,Fornecimento,22/09/2025,A
Contrato 25 - Seguro Veicular,Seguro,29/08/2025,C
Contrato 26 - Manutenção de Software,Manutenção,06/03/2025,C
Contrato 27 - Fornecimento de Software,Fornecimento,15/01/2025,A
Contrato 28 - Manutenção de Equipamentos,Manutenção,10/09/2025,B
Contrato 29 - Locação de Espaço,Locação,18/07/2025,C
Contrato 30 - Manutenção de Equipamentos,Manutenção,18/11/2025,B
Contrato 31 - Licença de Software X,Software,04/04/2025,F
Contrato 32 - Seguro Empresarial,Seguro,24/06/2025,A
Contrato 33 - Fornecimento de Equipamentos,Fornecimento,26/07/2025,F
Contrato 34 - Manutenção de Máquinas,Manutenção,06/05/2025,A
Contrato 35 - Consultoria em TI,Consultoria,10/04/2025,A
Contrato 36 - Licença de Software X,Software,25/02/2025,D
Contrato 37 - Seguro Empresarial,Seguro,15/08/2025,F
Contrato 38 - Fornecimento de Material,Fornecimento,13/05/2025,B
Contrato 39 - Seguro Veicular,Seguro,11/01/2025,B
Contrato 40 - Licença de Software,Software,20/09/2025,C
Contrato 41 - Fornecimento de Equipamentos,Fornecimento,23/05/2025,A
Contrato 42 - Fornecimento de Materiais,Fornecimento,13/07/2025,B
Contrato 43 - Licença de Software,Software,04/08/2025,F
Contrato 44 - Fornecimento de Material,Fornecimento,19/04/2025,D
Contrato 45 - Fornecimento de Equipamentos,Fornecimento,17/10/2025,C
Contrato 46 - Seguro Residencial,Seguro,22/09/2025,E
Contrato 47 - Seguro Empresarial,Seguro,01/03/2025,B
Contrato 48 - Licença de Software,Software,27/12/2024,C
Contrato 49 - Licença de Software X,Software,13/09/2025,E
Contrato 50 - Consultoria de TI,Consultoria,07/01/2025,E
Contrato 51 - Fornecimento de Equipamentos,Fornecimento,26/09/2025,B
Contrato 52 - Seguro Empresarial,Seguro,15/04/2025,D
Contrato 53 - Locação de Equipamentos,Locação,27/06/2025,B
Contrato 54 - Fornecimento de Materiais,Fornecimento,04/05/2025,C
Contrato 55 - Seguro de Vida,Seguro,05/01/2025,C
Contrato 56 - Manutenção de Equipamentos,Manutenção,24/02/2025,E
Contrato 57 - Seguro de Saúde,Seguro,20/02/2025,B
Contrato 58 - Consultoria Empresarial,Consultoria,28/03/2025,D
Contrato 59 - Licença de Software,Software,08/04/2025,B
Contrato 60 - Consultoria em Marketing,Consultoria,08/01/2025,F
Contrato 61 - Locação de Equipamentos,Locação,08/01/2025,C
Contrato 62 - Fornecimento de Material,Fornecimento,26/01/2025,B
Contrato 63 - Fornecimento de Equipamentos,Fornecimento,24/08/2025,B
Contrato 64 - Licença de Software,Software,30/10/2025,D
Contrato 65 - Licença de Software,Software,10/05/2025,C
Contrato 66 - Locação de Sala,Locação,20/08/2025,A
Contrato 67 - Seguro Residencial,Seguro,14/08/2025,B
Contrato 68 - Locação de Equipamentos,Locação,25/03/2025,B
Contrato 69 - Seguro de Saúde,Seguro,11/05/2025,E
Contrato 70 - Locação de Sala,Locação,09/11/2025,B
Contrato 71 - Manutenção de Software,Manutenção,11/07/2025,E
Contrato 72 - Locação de Sala,Locação,19/11/2025,E
Contrato 73 - Locação de Espaço,Locação,15/07/2025,D
Contrato 74 - Manutenção de Equipamentos,Manutenção,18/07/2025,D
Contrato 75 - Manutenção de Software,Manutenção,12/09/2025,E
Contrato 76 - Licença de Software,Software,03/09/2025,C
Contrato 77 - Licença de Software,Software,19/04/2025,E
Contrato 78 - Licença de Software,Software,08/07/2025,D
Contrato 79 - Fornecimento de Equipamentos,Fornecimento,25/03/2025,D
Contrato 80 - Manutenção de Equipamentos,Manutenção,15/01/2025,E
Contrato 81 - Fornecimento de Materiais,Fornecimento,12/02/2025,F
Contrato 82 - Manutenção de Software,Manutenção,07/09/2025,A
Contrato 83 - Licença de Software,Software,18/02/2025,A
Contrato 84 - Manutenção de Equipamentos,Manutenção,12/05/2025,C
Contrato 85 - Licença de Software,Software,26/03/2025,D
Contrato 86 - Locação de Equipamentos,Locação,06/11/2025,A
Contrato 87 - Seguro Empresarial,Seguro,30/04/2025,F
Contrato 88 - Fornecimento de Materiais,Fornecimento,27/02/2025,C
Contrato 89 - Locação de Espaço,Locação,07/08/2025,C
Contrato 90 - Consultoria de TI,Consultoria,04/08/2025,F
Contrato 91 - Licença de Software,Software,09/09/2025,F
Contrato 92 - Locação de Sala,Locação,15/06/2025,E
Contrato 93 - Consultoria Empresarial,Consultoria,12/05/2025,F
Contrato 94 - Locação de Sala,Locação,02/02/2025,B
Contrato 95 - Manutenção de Equipamentos,Manutenção,22/06/2025,D
Contrato 96 - Locação de Equipamentos,Locação,22/07/2025,D
Contrato 97 - Consultoria de TI,Consultoria,20/03/2025,B
Contrato 98 - Manutenção de Equipamentos,Manutenção,19/10/2025,C
Contrato 99 - Seguro Empresarial,Seguro,05/02/2025,E
Contrato 100 - Locação de Espaço,Locação,27/04/2025,A
